Description,,Summary Amt.,
Beginning balance as of 08/24/2019,,802.75,
Total credits,,793.5,
Total debits,,-449.87,
Ending balance as of 09/23/2019,,1146.38,
,,,
Date,Description,Amount,Running Bal.
08/24/2019,Beginning balance as of 08/24/2019,,802.75
08/29/2019,TARGET ST 3131 08/29 PURCHASE Los Angeles CA,-15.71,787.04
09/03/2019,"Zelle Transfer Conf# ad43a147c; CHEN, TINGTING",2.5,789.54
09/03/2019,R&B ROLL&KATSU 09/02 PURCHASE LOS ANGELES CA,-29.44,760.1
09/03/2019,VENMO DES:PAYMENT ID:XXXXX76261 INDN:TAO XU CO ID:XXXXX81992 WEB,-5,755.1
09/04/2019,WASH LAUNDRY WAVERIDER 09/03 PURCHASE EL SEGUNDO CA,-1.75,753.35
09/05/2019,WASH LAUNDRY WAVERIDER 09/03 PURCHASE EL SEGUNDO CA,-1.25,752.1
09/05/2019,RALPHS #0 2600 09/05 PURCHASE LOS ANGELES CA,-40.18,711.92
09/06/2019,"WIRE TYPE:WIRE IN DATE: 190906 TIME:0517 ET TRN:2019090600129344 SEQ:S06924908F8201/134357 ORIG:XU TAO ID:USD2192494200101 SND BK:CITIBANK, N .A. ID:0008 PMT DET:ABA/FW:026009593",95.5,807.42
09/06/2019,USC HOSPITALITY RETAIL 09/04 PURCHASE LOS ANGELES CA,-13.25,794.17
09/06/2019,Wire Transfer Fee,-15,779.17
09/09/2019,"WIRE TYPE:WIRE IN DATE: 190909 TIME:0520 ET TRN:2019090900184074 SEQ:S0692520EAD001/151009 ORIG:XU TAO ID:USD2192494200101 SND BK:CITIBANK, N .A. ID:0008 PMT DET:ABA/FW:026009593",695.5,1474.67
09/09/2019,KFC C004006 09/08 PURCHASE LOS ANGELES CA,-7.11,1467.56
09/09/2019,Wire Transfer Fee,-15,1452.56
09/10/2019,TARGET ST 3131 09/10 PURCHASE Los Angeles CA,-16.74,1435.82
09/11/2019,USC HOSPITALITY RETAIL 09/09 PURCHASE LOS ANGELES CA,-9.99,1425.83
09/11/2019,USC HOSPITALITY RETAIL 09/09 PURCHASE LOS ANGELES CA,-4.45,1421.38
09/11/2019,USC HOSPITALITY RETAIL 09/09 PURCHASE LOS ANGELES CA,-3.75,1417.63
09/12/2019,GREENLEAF CHOPSHOP - LO 09/10 PURCHASE LOS ANGELES CA,-11.13,1406.5
09/12/2019,TRADER JOE'S # 09/12 PURCHASE LOS ANGELES CA,-19.81,1386.69
09/13/2019,USC HOSPITALITY RETAIL 09/11 PURCHASE LOS ANGELES CA,-9.99,1376.7
09/13/2019,USC HOSPITALITY RETAIL 09/11 PURCHASE LOS ANGELES CA,-5.34,1371.36
09/13/2019,NORTHEASTERN UNIVERSITY 09/12 PURCHASE BOSTON MA,-75,1296.36
09/13/2019,TRADER JOE'S # 09/13 PURCHASE LOS ANGELES CA,-13.17,1283.19
09/16/2019,USC HOSPITALITY RETAIL 09/12 PURCHASE LOS ANGELES CA,-3.75,1279.44
09/16/2019,AMAZON.COM*HP3Y71Z33 AM 09/13 PURCHASE AMZN.COM/BILL WA,-20.68,1258.76
09/16/2019,AMZN MKTP US*EP1VG0SC3 09/13 PURCHASE AMZN.COM/BILL WA,-15.55,1243.21
09/16/2019,TARGET ST 3131 09/15 PURCHASE Los Angeles CA,-4.87,1238.34
09/16/2019,CAL STATE DENT 09/16 PURCHASE MONTEREY PARK CA,-70,1168.34
09/16/2019,TRADER JOE'S # 09/16 PURCHASE LOS ANGELES CA,-7.97,1160.37
09/18/2019,FEDEX 789845786201 09/16 PURCHASE MEMPHIS TN,-8.65,1151.72
09/18/2019,USC HOSPITALITY RETAIL 09/16 PURCHASE LOS ANGELES CA,-5.34,1146.38
